,employee_id,avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
0,113558,111,0,,0.753977,5,1.0,2,0.921208,0,4
1,112256,201,1,,0.9644530000000001,3,,2,0.568479,0,3
2,112586,239,2,,0.756458,3,,1,0.144812,0,6
3,108071,151,0,,0.608282,5,,2,0.2103,0,6
4,116915,259,3,,0.749206,4,,2,0.8885139999999999,0,3
5,104555,180,4,,0.7723770000000001,3,,1,0.356638,0,6
6,104706,194,2,,0.534309,5,,3,0.969191,0,2
7,118536,269,3,,0.843665,6,,1,0.0847653,1,4
8,111712,192,4,,0.750987,4,,1,0.617988,0,2
9,119150,205,2,1.0,0.534207,4,,1,0.129333,0,5
10,109162,218,4,,0.9307610000000001,5,,2,0.80065,1,5
11,105251,238,5,,0.687163,3,,2,0.8203440000000001,0,2
12,104544,165,5,,0.772913,4,,3,1.0,0,3
13,102700,258,2,,1.0,4,,2,0.529034,0,2
14,113732,234,2,,0.623682,3,,2,0.860094,0,3
15,108147,291,6,,0.885668,6,,1,0.157136,1,4
16,110690,251,3,,0.9502799999999999,4,,1,0.578013,0,2
17,115701,224,4,,0.6038979999999999,3,,2,0.959622,0,2
18,108054,233,2,,0.9132370000000001,5,,1,0.8916440000000001,0,3
19,116648,218,7,,,4,,2,0.909005,0,3
20,102076,133,4,,0.557253,4,,1,0.559044,0,3
21,114178,245,2,,0.690041,5,,2,0.876453,0,2
22,106163,149,7,,,2,,1,0.376832,1,3
23,102212,223,6,1.0,0.81196,5,,2,0.753583,1,5
24,109063,207,3,,,4,,1,0.653898,0,2
25,115820,189,5,,,4,,1,0.202714,0,2
26,106779,81,8,,,1,,3,0.6212118710642862,0,3
27,115751,179,4,,0.604449,3,,2,0.6348600000000001,0,3
28,100258,258,2,,0.611588,4,,2,0.5325,0,3
29,106928,145,5,,0.346225,4,,2,0.628679,0,5
30,114114,262,5,,0.619149,5,,2,0.70503,0,2
31,100745,183,2,,0.9685600000000001,4,,1,0.613921,0,2
32,106575,159,5,,0.606688,3,,2,0.732237,0,3
33,106011,259,2,,0.627583,5,,1,0.762133,0,3
34,101543,265,4,,0.591324,4,,2,0.553021,0,2
35,121359,271,5,,0.946384,5,,1,0.934184,1,5
36,118103,98,2,,0.46006099999999994,4,,2,0.789979,0,4
37,105165,257,5,,0.8643040000000001,5,,2,0.776482,1,5
38,109291,246,6,1.0,,4,,1,0.9509690000000001,0,3
39,111129,128,5,,0.5002989999999999,2,,2,0.47192700000000004,1,3
40,110538,148,7,,0.5870000000000001,2,,3,0.48771400000000004,1,3
41,110339,158,5,1.0,0.641864,4,,1,0.150043,1,4
42,114826,153,2,1.0,0.49678500000000003,2,,1,0.367253,1,3
43,135194,274,2,,0.9062979999999999,4,,2,0.8192299999999999,0,3
44,105415,120,2,,0.494432,3,,2,0.458711,0,6
45,113801,221,2,,0.748904,4,,2,0.25042800000000004,0,5
46,107371,189,2,,0.901136,3,,1,0.9773229999999999,0,3
47,100883,195,2,1.0,0.816122,5,,1,0.945427,0,4
